row,topic,levels,statement,value,unit,quote_ocr,record,author_source,doc_date,page_ref,status_t0,note
11,grade-tonnage,4,Three million tons of 1% Cu mineralisation in the Gunson area; source argued as syngenetic Cu (300-500 ppm) in the Woocalla dolomite,3000000,tons @ 1% Cu,Copper values of 300 to 500 p.p.m. have been recorded in unmineralised dolomite in areas near copper workings. ... Three million tons of 1% Cu Mineralization in the Gunson area,mesac21897,"Tonkin, D.G. PMR 149/71",19 Aug 1971,extract p. 154,before,
12,belt length,3,"Woocalla Dolomite and its deep-water black shaly siltstone traced from under Mount Gunson, under Oakden Hills, to south of Monalena, and identified in Woomera No. 1 at 308-454.5 m",,,"The Woocalla Dolomite and its deep water equivalent, a black shaley siltstone, has now been traced southward from under Mount Gunson, under the Oakden Hills, to south of Monalena ... It has been further identified from the Woomera No. 1 Bore as being present below Woomera township at a depth of 308 metres to 454.5 metres.",mesac31775,"Pacminex, EL 81 progress report to 19/10/1973 (Env 02330)",Oct 1973,extract p. 22,before,belt length computed in the notebook from bore coordinates
13,belt length,3,Black-shale facies fills broad basins around the Oakden Hills Pandurra ridges; the black-shale basin extends west to Lake MacFarlane,,,"To the north, west and south of the ridge complex, the post-Pandurra surface slopes away into broad basins of deposition, infilled with the black shale facies of the Woocalla Dolomite. A scout drilling programme between Oakden Hills and Lake MacFarlane has shown that the black shale basin extends westward to Lake MacFarlane.",mesac31775,"Maiden, K.J. PMR 97/73, Oakden Hills-Lake MacFarlane (Env 02330)",Sep 1973,extract p. 36,before,
14,thickness,3,"Maximum unit thicknesses, Oakden Hills-Lake MacFarlane: Woocalla 130 m, Whyalla 100 m, Tregolana 140 m, Pandurra >100 m",130,m (Woocalla max),Woocalla Dolomite 130 m ... Whyalla Sandstone 100 m ... Tregolana Shale 140 m ... Pandurra Formation >100 m,mesac31775,"Maiden, K.J. PMR 97/73",Sep 1973,extract p. 38 (Table 1),before,
15,redox facies,3,"Facies of the Woocalla: black shale (deeper water), dolomitic shale, laminated, oolitic, stromatolitic dolomite, dolomitic mud and silt (supratidal), red and green shale; the deeper-water, lagoon and supratidal facies may carry reducing conditions",,,"Of these facies types, those deposited in deeper water, in shallow lagoons and in the supratidal zone may be associated with reducing conditions favourable for the precipitation of sulphides.",mesac31447,"Maiden, K.J. PMR 58/74, Facies variations in the Woocalla Formation (Env 06611)",May 1974,extract p. 11,before,
16,patch length,3,West of the Pernatty Culmination the shoreline fringe of dolomite is generally less than 500 m wide before grading through dolomitic shale into black shale,0.5,"km (fringe width, upper)","In the Mt. Gunson, McLeay and Oakden Hills area, the shoreline fringe of dolomite is generally less than 500 m in width before grading through dolomitic shale into black shale.",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 35,before,
17,thickness,3,Black shale 120 m thick in the Woomera Bore; unit up to 130 m,120,m,"In the Woomera Bore, the unit consists of 120 m of black shale. ... The thickness of the unit (up to 130 m)",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,"extract pp. 10, 32",before,
18,oxidised patch,3,Between 'Pandurra' and 'Hesso' the black shale changes shoreward into red and green shale filling a broad channel: detrital deposition in an oxygenated environment,,,"Between ""Pandurra"" and ""Hesso"", the black shale changes shoreward into red and green shale. Cross sections show that this facies occupies a broad channel at the western edge of the Woocalla Basin ... This facies indicates a change to detrital deposition in an oxygenated environment as opposed to the reducing environment of the black shale facies.",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 32,before,
19,presence,3,"Black shale cored in 6 holes about 10 km apart (Lake Dutton, Noranda): minor sulphide and above-normal metals in every hole",6 of 6,holes,"Subsequently, the black shale was cored in 6 drill holes spaced about 10 km apart. Minor amounts of sulphide and above normal metal values were detected in every hole.",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 50,before,reduced facies present at every sampled site over a ~50 km spread
20,zoning length,3;4,"Cu highest near the basin edge and falling over 15 km (4,600 ppm at 1 km to 180 ppm at 15 km); Pb-Zn peaks further out (Zn 9,200 ppm at 8 km)",15,"km (Cu decay length scale, basin edge to LD4)","Higher copper values occur towards the edge of the basin of deposition, Pb-Zn values further away from the edge ... LD1 1 km 4600 1600 2200 ... LD3 8 km 400 3000 9200 LD4 15 km 180 800 3000",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 52 (Table 2),before,
21,zoning length,3;4,"North of the Cattlegrid Cu 5,700-6,500 ppm in dolomitic shale 0.25-0.75 km from the palaeo-shoreline, black shale at 1.25 km 2,400 ppm Cu and Pb",1.25,km,MG21 0.25 Dolomitic Shale 5700 130 820 MG17 0.75 Dolomitic Shale 6500 340 890 MG18 1.25 Black Shale 2400 2400 1100,mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 54 (Table 3),before,
22,grade-tonnage,4,"Sweet Nell: 213,000 tonnes of 1.22% Cu in a 1-2 m shale on the post-Pandurra surface; Gully 0.1-0.4% Cu over almost 1 km2; Pb-Zn zones 6-9 m thick over 1.5 and 2.5 km2",213000,tonnes @ 1.22% Cu,"Copper mineralisation at the Sweet Nell Mine occurs in a shale bed, approximately 1-2 m thick, underlying dolomite. The shale lies directly on the post-Pandurra palaeo-surface. ... an estimated 213,000 tonnes of 1.22% Cu. ... Gully area - values in the range 0.1 - 0.4% Cu over an area of almost 1 km2 ... The zones are both 6-9 m thick.",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,"extract pp. 48, 50",before,OCR areas '2.5 km' and '1.5 km' read as km2
23,ore rule,3;4,"Controls: facies (dolomitic mud and silt; dolomitic shale with Cu inshore and Pb-Zn offshore), a rapid oxidising-to-reducing change, and depressions in the post-Pandurra palaeo-surface; compared with the Copperbelt, White Pine and Kupferschiefer",,,"the actual controlling factor may be a rapid change from oxidising to reducing conditions ... higher metal concentrations appear to be associated with local depressions (basins or channels) in the post-Pandurra palaeo-surface. ... The Woocalla Dolomite has been compared to the Kupferschiefer ... by Dunlop and Dunlop (1970), and to the Zambian Copperbelt by Johns (1972).",mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract pp. 55-57,before,
24,targeting,5,"INPUT airborne EM may be picking up depressions in the post-Pandurra surface; MG14 target found by INPUT, weak EM and good IP over it",,,The INPUT method is possibly picking up depressions in the post-Pandurra palaeo-surface. ... Follow-up geophysics in the MG14 area produced a weak E.M. cross-over and a quite good I.P. anomaly coinciding with the INPUT anomaly.,mesac31447,"Maiden, K.J. PMR 58/74",May 1974,extract p. 59,before,
25,placement,3,The Sturtian disconformity is a locus for copper at the base of the Woocalla; the Marinoan transgression is the locus for Mount Gunson stratiform copper in the Whyalla Sandstone,,,The Sturtian disconformity is a locus for later copper mineralisation at the base of the Woocalla Dolomite ... This Marinoan transgression is a locus for the Mount Gunson stratiform copper mineralisation in the Whyalla Sandstone Member.,rb7400135,"Thomson, B.P., Forbes, B.G. and Coats, R.P. RB 74/00135 (for Knight ed.)",25 Jun 1974,p. 5 (report p. 11 of extract),before,
26,geometry,4,"Discrete, shallow, more or less tabular low-grade bodies up to 5 m thick along the unconformities separating Whyalla Sandstone and Woocalla Dolomite from the Pandurra; open-cut reserves 3 Mt of +1% Cu (1970)",5,m (max thickness),"The known copper deposits comprise discrete, shallow, more or less tabular bodies of generally low grade that range up to 5 m in thickness and are concentrated along unconformities which separate the Whyalla Sandstone and Woocalla Dolomite from the underlying Pandurra Formation. ... open-cut reserves were reported to total three million tonnes of +1% copper ore.",rb7400197,"Johns, R.K. RB 74/00197 (Adelaide Geosyncline and Stuart Shelf, sundry mineralisation)",9 Oct 1974,pp. 12-14,before,catalogue year 1975 is the book; the report is dated 9 Oct 1974
27,stratigraphy,1;2,"Pyroxene basalts of presumed Willouran age, over 200 m thick, under a Pandurra of at least 200 m; Woocalla up to 150 m",200,"m (basalt, lower bound)","Pyroxene basalts of presumed Willouran age and exceeding 200 m in thickness are succeeded by the Pandurra Formation, a clastic sequence of horizontally disposed quartzites at least 200 m in thickness ... The dolomite which ranges up to 150 m in thickness",rb7400197,"Johns, R.K. RB 74/00197",9 Oct 1974,p. 15,before,bears on Level 2 (basalt below the Pandurra at the analog)
28,presence,3,"Zinc and lead proven over a wide area in dolomitic black shales, zones up to 10 m thick at 0.2% Pb and 0.3% Zn; localisation governed by the Pernatty Culmination and the unconformities separating reef dolomite, black shale and sandstones",10,m (Pb-Zn zone max),"Zinc and lead, in subeconomic concentrations, have been proven by drilling to occur over a wide area in dolomitic black shales. ... Several zones ranging up to 10 m in thickness have been proven to contain 0.2% lead and 0.3% zinc ... the proximity of the Pernatty Culmination ... and the unconformities separating reef dolomite, a black shale facies and sandstones",rb7400197,"Johns, R.K. RB 74/00197",9 Oct 1974,pp. 16-17,before,
29,ore rule,4,Cattle Grid ore mainly in the brecciated weathered top of the Pandurra; mineralisation crosses a valley and ridges; an MG14 basic dyke is proposed as the metal source,,,The ore zone of the Cattle Grid is principally the brecciated zone created during the weathering of the Pandurra Formation. ... the Cattle Grid mineralisation does not appear to have been significantly influenced by the Pandurra Topography ... the possible importance of this basic igneous activity directly related to copper mineralisation at Mount Gunson,mesac31294,"Pacminex, text signed 3/3/1975, filed under Tonkin PMR 140/76 (July 1976) (Env 06593)",3 Mar 1975 / Jul 1976,"extract pp. 1, 8-11",unresolved,cross-check only until its circulation date is settled
30,ore rule,3;4,Copper in sandstone and dolomite adjacent to a stromatolite reef about a basement high (Pernatty Culmination); widespread low-grade Zn-Pb-Cu sulphide in laterally equivalent dolomitic black shales in restricted lagoonal depressions of the Pandurra surface,,,"Copper mineralisation appears to be concentrated in sandstone and dolomite adjacent to and within a stromatolite reef complex about a basement high (the Pernatty culmination) whereas zinc and lead, in subeconomic concentrations, occur in laterally equivalent dolomitic black shales which accumulated in a restricted lagoonal environment, in depressions within the Pandurra Formation.",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,p. 1 (Abstract),before,text layer
31,geometry,4,Copper deposits are tabular bodies up to 15 ft (4.6 m) thick along the disconformities; open-cut reserves 3.2 million tons at the May 1970 reopening,3200000,"tons (open-cut reserve, grade not stated here)","The known copper deposits comprise discrete, shallow, gently undulating more or less tabular bodies of generally low grade that range up to 15ft. in thickness ... open-cut reserves were put at 3.2 million tons of copper ore.",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,p. 2,before,
32,presence,3,"Dolomitic black shales (Woocalla) intersected over a wide area in water bores: Woomera No. 1 372 ft of dark-grey laminated shale (1,118-1,490 ft), Beda bore 14 ft, a bore 4 miles north of Maslin over 100 ft; absent at Yudnapinna and Lake MacFarlane; black shales at the Pandurra prospect are lateral equivalents",,,"Dolomitic black shales have been intersected in drilling for water supplies over a wide area. Woomera No. 1 bore passed through 372ft. of dark-grey finely laminated shale and dolomitic shale between 1 118ft. and 1 490ft. In Beda bore 14ft. of this formation were intersected ... However, the formation appears to be absent in the Yudnapinna H.S. area and at Lake MacFarlane. ... Black shales exposed at the copper prospect, 2 miles south-east of Pandurra H.S. are lateral equivalents.",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,p. 6,before,Maiden (Sep 1973) later reports black shale reaching Lake MacFarlane; the two disagree
33,presence,3,"1971 Noranda/SADM programme: 7 widely spaced holes from Oakden Hills to beyond Lake Dutton; 6 intersected Woocalla black or dolomitic shale (12 to 129 m), LD7 found Whyalla Sandstone directly on Pandurra",6 of 7,holes,"Seven widely spaced holes were subsequently drilled in a region of sparse outcrop extending from Oakden Hills H.S. to beyond Lake Dutton. ... LD7 ... was drilled to completion without encountering shale. The Whyalla Sandstone 120ft. in thickness, rests directly on the Pandurra Formation.",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,pp. 14-18,before,same LD holes as Maiden 1974 'six holes about 10 km apart'; counted once; thicknesses in mount_gunson_LD_holes_1971.csv
34,patch length,3,"1968 Winnie Pinnie drilling (30 holes at about half-mile spacing): Woocalla more or less mineralised throughout, filling depressions, up to 130 ft; Pb-Zn highest in two northerly troughs about 1 x 0.5 mile and 2 x 0.5 mile; shales over the highs more dolomitic and poorer",1.6-3.2,km (trough length; width 0.8 km),The underlying Woocalla Dolomite proved to be more or less mineralised throughout ... Base metal contents proved to be highest in two concealed sub-parallel shallow troughs ... the westernmost zone is almost one mile long and one half mile wide ... another zone almost two miles long and one half mile wide ... the shales over the more elevated portions of this surface were more dolomitic and relatively deficient in base metals,rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,pp. 12-13,before,
35,belt length,3,Mineralised black shale in a basement trough over 20 miles (32 km) between Winnie Pinnie and Greenfields Dam; area of interest a corridor about 6 miles (10 km) wide trending north from Winnie Pinnie to Birthday siding,32,km (trough length; corridor width 10 km),"this interpretation narrows down the general area of interest to a corridor some six miles in width trending slightly east of north, from south of the Winnie Pinnie Dam area to Birthday siding. ... black shale in a basement trough extending over a distance of 20 miles between Winnie Pinnie and Greenfields Dam",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,pp. 19-20,before,
36,grade-tonnage,4,"East Lagoon orebody (April 1970): measured 203,000 short tons at 1.43% Cu, indicated 46,000 at 1.26%, inferred 26,000 at 1.05%; mineralisation averages 11.5 ft (3.5 m) thick, most ore within the red quartzite (Pandurra), trends still open",0.249,"Mt (measured + indicated, short tons x 0.907)","Measured Ore 203,000 1.43 Indicated Ore 46,000 1.26 Inferred Ore 26,000 1.05 ... The average thickness of mineralisation (11.5') is thin and can be effectively mined in one level. ... They also show how most of the ore occurs within the red quartzite. ... Mineralisation trends on the west, east, and northeast sides are still open",mesac31341,"Mathias, W.F. Evaluation of the East Lagoon orebody (Env 06604)",30 Apr 1970,"extract pp. 14, 22, 24-25",before,
37,ore rule,2;3;4,"Controls: the Pernatty Culmination (a basement high with an algal reef, intruded by a swarm of basic dykes), the Pandurra/Woocalla/Whyalla disconformities, dolomite as a pH trap, basement fractures; dolerite near Katunga Hills carries about 500 ppm Cu; analogies with the Kupferschiefer and the Rhodesian copper belt",,,"The Pernatty Culmination, underlain by basement rocks which are intruded by a swarm of basic dykes and dislocated by a system of major fractures, comprise a potential zone of weakness through which mineralising solutions could have migrated. ... Three holes ... intersected dolerite averaging almost 500 ppm copper ... Analogies may be drawn between the mineralised black shales (Woocalla Dolomite) and the Kupferschiefer of northern Europe while the association ... flanking collenia reefs on basement highs invites comparison with deposits of the Rhodesian copper belt",rb7200189,"Johns, R.K. RB 72/00189 (Base metal mineralisation in the Pernatty Lagoon region)",4 Oct 1972,pp. 20-22,before,ties the Level 2 basalt/dolerite source to the Level 3 reduced trap at the analog
